comment,groundtruth,id,summary,reason,predict_label
"The camera quality of my smartphone has been quite disappointing. I often feel that the colors in the photos look a bit off and seem a bit strange. When I take close-up shots of people, the skin tones sometimes don't quite match reality, and the overall image feels a bit distorted. I've tried various modes and settings, but I haven't been able to fully resolve this issue. I hope that the smartphone manufacturers will pay more attention to this problem and quickly release better camera function upgrades.",camera color deviation,s_77,"Smartphone camera colors look off, skin tones distorted in close-ups.","The comment describes issues with color accuracy and distortion in photos, particularly with skin tones in close-up shots.",camera color deviation
"This phone always feels a bit laggy when I'm using it, the operation isn't very responsive, and it sometimes feels a bit slow to react. I sometimes find it a bit uncomfortable to use. I'm not sure if it's just my own perception or an issue with the phone itself, but it just doesn't feel very smooth to use. I hope the manufacturer can make some improvements to make the phone usage more fluid and seamless.",lag and stuttering,s_78,"Phone feels laggy, unresponsive, and slow to react.","The comment describes the phone as laggy and slow to react, which aligns with the 'Lag and stuttering' category.",lag and stuttering
"This phone is so annoying, it's always having issues, constantly freezing up and I can't even use it. I've been encountering some minor problems lately and the phone just feels more and more unstable. I really hope the company can resolve this issue as soon as possible. Otherwise, I might have to switch to a different phone, it's just too inconvenient to deal with.",update failure,s_79,"Phone constantly freezing, unstable, and inconvenient to use.","The comment describes the phone as constantly freezing and unstable, which aligns with the 'Device freezing' category.",device freezing
"Migrating data on this phone is incredibly slow, and it keeps failing - it's so frustrating! The whole process is a nightmare, it's just not good enough. I really hope the company can fix this issue quickly, otherwise I'm going to have to switch to a different phone.",slow or failed data migration,s_80,"Data migration is slow and keeps failing, causing frustration.","The comment specifically mentions the slow and failing data migration process, which directly matches the 'Slow or failed data migration' category.",slow or failed data migration
"My phone's been acting up for a while now. The screen just doesn't seem as responsive as it used to be. Sometimes I can't even hit the spot I'm trying to tap, and it just feels really clunky to use. This problem has been bugging me for a few months now, and I really hope the manufacturer can fix it soon. Otherwise, I might just have to consider getting a new phone.",unresponsive screen,s_81,"Phone screen is less responsive, making it clunky to use.","The comment describes the screen as less responsive and clunky, which aligns with the 'Unresponsive screen' category.",unresponsive screen
It's been over an hour and it's only at 86%. The phone is getting colder to the touch than my own heart. Looks like I spoke too soon in praising the new software update. [Embarrassed],charging failure,s_82,Phone is charging slowly and getting cold after software update.,The comment indicates a slow charging issue and abnormal temperature change after an update.,charging failure
"I've been having a lot of issues recently when trying to connect my phone to the in-car system. It's really frustrating - it just won't connect properly, or if it does, it doesn't respond. My phone is working fine, but it just doesn't seem to play nicely with the in-car system. I really hope the manufacturers can sort this out soon, otherwise I'll probably just stop using that feature altogether.",carplay connection failure,s_83,"Phone struggles to connect to in-car system, causing frustration.","The comment describes difficulty in connecting the phone to the in-car system, which is a common issue related to CarPlay connection failure.",carplay connection failure
"This phone is really disappointing. There are always some weird little issues. Sometimes when I open certain apps, the phone just automatically exits out of them. It feels like a real hassle to use. I hope the manufacturer can resolve these problems quickly, otherwise I might not choose this brand again when it's time for me to get a new phone next time.",app crashes,s_84,"Phone automatically exits certain apps, causing inconvenience.","The comment describes the phone automatically exiting certain apps, which aligns with the 'App crashes' category.",app crashes
"After the software update, the screen is flickering! This really affects the experience. [Melting]",screen flickering,s_85,"After the software update, the screen is flickering, affecting the experience.","The comment mentions 'screen is flickering' after a software update, which matches the 'Screen flickering' category.",screen flickering
"Why did I have to update the system with such curiosity? Wasn't the old system good enough? Or did I think my phone's lifespan was too long?[Disappointed]
After the update, in less than half an hour, the messaging app crashed once, and the phone became sluggish. The photo gallery turned into a blinding purple glow.
Aaaaargh, I'm so unhappy!",app crashes,s_86,"After system update, messaging app crashed, phone sluggish, photo gallery displayed purple glow.","The comment mentions app crashes, sluggish performance, and an unusual display issue after a system update.",app crashes
"My phone's connection to the in-car system is always problematic. It just won't connect, and it's really annoying. I've tried several times, but the screen stays black and doesn't respond at all. I have no idea where the problem lies. I don't know how to fix this issue either. I hope the manufacturer can resolve this problem soon, or else I might have to get a new phone.",carplay connection failure,s_87,"Phone's in-car system connection is problematic, screen stays black.","The comment describes issues with connecting to the in-car system and a non-responsive screen, indicating a CarPlay connection failure.",carplay connection failure
"According to media reports, some users have reported that their smartphones have experienced a bug where the screen becomes unresponsive to touch. When using the device, the finger does not respond when touching the screen, and the only way to resolve it is by repeatedly tapping the screen or performing a forced restart.
However, it has been mentioned that this issue is not limited to the latest model, and some older devices have also encountered the same problem after upgrading to the latest software version. This suggests that the bug is related to the software rather than the hardware.
The manufacturer has not yet provided a response regarding this issue, but they may address it through a software update in the future.",unresponsive screen,s_88,"Users report unresponsive touchscreen on smartphones, affecting both new and older models after software updates.","The comment describes an issue where the smartphone screen becomes unresponsive to touch, requiring repeated tapping or a forced restart to resolve. This issue is attributed to a software bug rather than hardware failure.",unresponsive screen
"I received the deep blue 13 Pro on the 25th, and after updating to 15.0 yesterday morning, the messaging app has been crashing constantly.
Is anyone else experiencing the same issue? 
Do you know what might be causing this problem? [crying emoji][crying emoji]",app crashes,s_89,Messaging app crashes after updating to 15.0 on a deep blue 13 Pro.,"The comment mentions the messaging app crashing after an update, which aligns with the 'App crashes' category.",app crashes
This green light is more than just annoying. Does anyone know if this issue will be fixed?,camera lens glare,s_90,User is annoyed by a green light issue and seeks a fix.,"The comment mentions a specific issue with a green light, which is not directly covered by the provided categories. However, it could be related to 'Screen flickering' or 'Others' if the green light is part of a display problem.",camera lens glare
"This phone really disappoints me, as it's constantly experiencing some weird issues. Sometimes the screen just doesn't respond at all, no matter how many times I press the buttons. It's so frustrating. These problems keep happening, and I'm almost afraid to use the phone anymore, as it's just so unreliable. I hope the manufacturer can address these issues quickly, or else I might consider switching to a more reliable phone.",unresponsive screen,s_91,"Phone constantly has weird issues, screen unresponsive, unreliable.","The comment describes the screen not responding, which matches the 'Unresponsive screen' category.",unresponsive screen
"I've noticed that after upgrading to the latest software version, my older device seems to be experiencing more lag and performance issues compared to the previous version. The device feels less smooth and responsive than before. I'll give it some time to see if the performance improves, but I've also heard reports that the battery life may have decreased on some models after the update. It's worth being cautious about upgrading older devices right away and waiting to see how the new software version performs.",lag and stuttering,s_92,"Older device experiences lag, decreased performance, and potential battery life reduction after latest software update.","The comment describes performance issues such as lag, decreased smoothness, and potential battery life reduction after a software update, which aligns with the 'Lag and stuttering' and 'Abnormal battery health' categories.",lag and stuttering
"After the update, my storage space decreased by 20 GB. Does anyone know why this happened? Is there a way to get that space back? [Crying emoji] [Crying emoji] [Crying emoji]",high storage usage,s_93,User reports a 20 GB decrease in storage space after an update.,"The comment indicates a significant reduction in storage space following an update, aligning with the 'High storage usage' category.",high storage usage
"My phone has been experiencing some weird issues lately. The unlocking process is often unreliable, which is really frustrating. I'm not sure if it's a problem with the phone itself or if there's a bug in the system. To be honest, I don't really understand the technical details, but I hope the manufacturer can fix it quickly. It's really affecting my user experience.",face id malfunction,s_94,"Phone unlocking process is unreliable, causing frustration.","The comment mentions an unreliable unlocking process, which aligns with the 'Face ID malfunction' category.",face id malfunction
"After the recent software update, my device has automatically shut down twice already [crying emoji]. Is anyone else experiencing the same issue?","automatic restart, shutdown",s_95,Device automatically shut down twice after recent software update.,"The comment mentions the device automatically shutting down after a software update, which aligns with the 'Automatic restart, shutdown' category.","automatic restart, shutdown"
Another bug in the new smartphone model. It seems the activation process is not working properly. This is a frustrating issue.,activation failure,s_96,"Activation process not working properly, causing frustration.","The comment specifically mentions an issue with the activation process of the smartphone, which aligns with the 'Activation failure' category.",activation failure
"This phone just doesn't feel right in my hand, there are always little issues popping up, and the workmanship and quality could definitely use some improvement. I'm not sure if it's just my usage habits that aren't a good fit, but either way, it's just not very comfortable to use. I hope the manufacturer takes these problems seriously - at the end of the day, the customer's experience is the most important thing.",poor manufacturing quality,s_97,"The phone feels uncomfortable to use, with poor workmanship and quality.","The comment mentions discomfort in usage and poor workmanship, aligning with 'Poor manufacturing quality'.",poor manufacturing quality
"After upgrading yesterday, I've started experiencing pop-ups and no signal on my phone. Has anyone else encountered this issue? I'd appreciate any insights.",weak signal,s_98,Experiencing pop-ups and no signal after upgrading phone.,"The comment mentions issues arising after an update, specifically pop-ups and signal loss.",update failure
"This phone is really not user-friendly, it's always having issues. I'm just fed up with it. I've even dropped the screen before, and now it's acting up again. After spending so much money on it, it's really disappointing. I don't know if there's an issue with the manufacturing, but it's just a hassle to use. I hope the manufacturer can resolve this problem as soon as possible.",poor manufacturing quality,s_99,The phone is not user-friendly and has manufacturing issues.,The comment mentions issues with the phone's manufacturing and overall user experience.,poor manufacturing quality
